,token,surprisal,entropy,KL,PE,predictions
0,<s>,,,,,De
1,Het,4.4931793212890625,7.5221967697143555,4.964737415313721,0.5973227580777157,is
2,arme,8.124285697937012,7.516034126281738,2.0196244716644287,1.080927196635306,meisje
3,eendje,10.079617440700531,2.9231300354003906,0.8417301177978516,3.4482275227690624,Ċ
4,had,6.7027058601379395,3.8921780586242676,3.7719779014587402,1.7220964095633085,een
5,het,2.9788413047790527,5.464408874511719,1.8896067142486572,0.5451351414557594,niet
6,al,4.0492730140686035,6.295578956604004,1.5489610433578491,0.6431931109085612,eerder
7,heel,4.542223930358887,5.125106334686279,2.6948294639587402,0.8862692076489234,lang
8,slecht,5.778999328613281,1.3599038124084473,5.8939409255981445,4.249564767656934,Ċ
9,.,3.2127978801727295,4.45496129989624,4.567838191986084,0.7211730167549509,Ċ
10,</s>,3.750383138656616,0.8071223497390747,12.09511947631836,4.646610442480045,<unk>
11,<s>,,,,,de
12,Op,6.518266201019287,8.074488639831543,5.145852088928223,0.8072667498551681,inie
13,zekere,10.789349555969238,4.464292526245117,8.198081016540527,2.416810612776775,dag
14,avond,4.4606523513793945,1.6761491298675537,7.482743740081787,2.661250286083952,Ċ
15,",",3.020789623260498,5.832292556762695,1.613409399986267,0.5179420603237425,op
16,juist,8.341439247131348,5.255259037017822,0.5091148614883423,1.5872555830977317,op
17,toen,2.78940749168396,3.96467924118042,4.896956443786621,0.7035644807556887,de
18,de,1.7563238143920898,3.806737184524536,4.314767837524414,0.46137249020816123,zon
19,zon,3.8435707092285156,7.775237560272217,8.580361366271973,0.4943348263553184,opkwam
20,in,3.738875389099121,4.140743255615234,3.383150100708008,0.9029478908234305,de
21,haar,4.126399040222168,3.451188564300537,5.328293323516846,1.1956457792269248,ogen
22,pracht,9.279440879821777,5.701046943664551,6.296789169311523,1.627673122413738,en
23,onderging,5.883327484130859,6.276126384735107,4.2182111740112305,0.9374138000854126,","
24,",",0.30771511793136597,1.4151854515075684,5.4670867919921875,0.21743801676562127,was
25,kwam,3.3306069374084473,5.464505195617676,3.8830642700195312,0.6094983567916573,de
26,er,2.426826238632202,4.400094985961914,2.0193939208984375,0.5515395113911771,een
27,een,0.7764554023742676,3.416853427886963,3.7345900535583496,0.22724281821314182,grote
28,hele,6.198605537414551,7.375551223754883,1.8242809772491455,0.8404260711321925,stoet
29,troep,4.36189079284668,6.254979610443115,3.171605110168457,0.6973469242912008,eenden
30,grote,6.735528945922852,6.379127502441406,1.328718662261963,1.0558699357153536,","
31,vogels,3.538236618041992,5.469154357910156,5.362863540649414,0.6469440038613217,tevoorschijn
32,uit,2.632847547531128,3.7028489112854004,3.89451265335083,0.7110329399362844,de
33,het,1.4162853956222534,2.7239556312561035,5.737864017486572,0.5199370281112687,bos
34,bos,1.6435985565185547,4.719513893127441,5.973006248474121,0.3482558995984658,tevoorschijn
35,.,1.7193565368652344,3.6507372856140137,9.66579818725586,0.47096145308523824,Ċ
36,</s>,0.013885553926229477,0.09330499172210693,6.128272533416748,0.14881898245685762,Ċ
37,<s>,,,,,de
38,Het,5.682589054107666,8.038698196411133,3.0957534313201904,0.7069041423454174,was
39,eendje,4.83016818203032,0.06412938237190247,6.523134708404541,75.31911275893718,was
40,had,2.008615016937256,4.53126335144043,5.732038497924805,0.4432792493287205,het
41,er,3.611515998840332,3.1274046897888184,1.3366948366165161,1.1547965028741465,een
42,nooit,4.401058197021484,5.122647762298584,1.6146498918533325,0.8591373838763969,eerder
43,zulke,6.795126914978027,4.479312896728516,4.659339904785156,1.5170020651919351,grote
44,mooie,2.504047393798828,5.95059871673584,2.282646894454956,0.42080595802171755,","
45,gezien,7.738619327545166,6.2102766036987305,3.7706263065338135,1.2460989777711642,.
46,.,0.7117817997932434,2.518885612487793,6.402321815490723,0.2825780560516393,Ċ
47,</s>,0.001088615506887436,0.009984040632843971,9.028741836547852,0.10903556454951464,Ċ
48,<s>,,,,,de
49,Zij,9.062630653381348,8.026263236999512,3.0519232749938965,1.1291220317325732,was
